fixture_id,league,league_ru,season,date,home_team,away_team,home_goals,away_goals,result,b365_home,b365_draw,b365_away,bw_home,bw_draw,bw_away,iw_home,iw_draw,iw_away,ps_home,ps_draw,ps_away,wh_home,wh_draw,wh_away,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
fd__16/08/2024_Man United_Fulham,E0,Английская Премьер-лига,2024,16/08/2024,Man United,Fulham,1,0,H,1.6,4.2,5.25,1.6,4.4,5.25,0.0,0.0,0.0,1.63,4.38,5.3,1.65,4.2,5.0,14,10,5,2,12,10,7,8,2,3,0,0
fd__17/08/2024_Ipswich_Liverpool,E0,Английская Премьер-лига,2024,17/08/2024,Ipswich,Liverpool,0,2,A,8.5,5.5,1.33,7.5,5.5,1.36,0.0,0.0,0.0,8.18,5.84,1.34,8.5,5.5,1.33,7,18,2,5,9,18,2,10,3,1,0,0
fd__17/08/2024_Arsenal_Wolves,E0,Английская Премьер-лига,2024,17/08/2024,Arsenal,Wolves,2,0,H,1.18,7.5,13.0,1.2,7.5,13.5,0.0,0.0,0.0,1.16,8.56,16.22,1.18,7.0,17.0,18,9,6,3,17,14,8,2,2,2,0,0
fd__17/08/2024_Everton_Brighton,E0,Английская Премьер-лига,2024,17/08/2024,Everton,Brighton,0,3,A,2.63,3.3,2.63,2.65,3.4,2.6,0.0,0.0,0.0,2.73,3.36,2.71,2.6,3.5,2.7,9,10,1,5,8,8,1,5,1,1,1,0
fd__17/08/2024_Newcastle_Southampton,E0,Английская Премьер-лига,2024,17/08/2024,Newcastle,Southampton,1,0,H,1.36,5.25,8.0,1.35,5.5,7.75,0.0,0.0,0.0,1.35,5.7,8.25,1.35,5.5,8.0,3,19,1,4,15,16,3,12,2,4,1,0
fd__17/08/2024_Nott'm Forest_Bournemouth,E0,Английская Премьер-лига,2024,17/08/2024,Nott'm Forest,Bournemouth,1,1,D,2.45,3.5,2.8,2.45,3.5,2.8,0.0,0.0,0.0,2.47,3.42,2.97,2.5,3.5,2.8,14,13,8,4,17,8,2,6,1,3,0,0
fd__17/08/2024_West Ham_Aston Villa,E0,Английская Премьер-лига,2024,17/08/2024,West Ham,Aston Villa,1,2,A,2.45,3.6,2.75,2.45,3.6,2.7,0.0,0.0,0.0,2.49,3.65,2.8,2.4,3.75,2.75,14,15,3,3,18,11,5,3,1,2,0,0
fd__18/08/2024_Brentford_Crystal Palace,E0,Английская Премьер-лига,2024,18/08/2024,Brentford,Crystal Palace,2,1,H,2.4,3.4,2.9,2.4,3.4,2.87,0.0,0.0,0.0,2.5,3.4,2.95,2.45,3.5,2.88,9,14,5,6,6,15,4,7,1,5,0,0
fd__18/08/2024_Chelsea_Man City,E0,Английская Премьер-лига,2024,18/08/2024,Chelsea,Man City,0,2,A,4.1,3.9,1.8,3.9,4.1,1.82,0.0,0.0,0.0,4.19,3.93,1.84,4.0,4.0,1.83,10,11,3,5,12,9,4,3,1,1,0,0
fd__19/08/2024_Leicester_Tottenham,E0,Английская Премьер-лига,2024,19/08/2024,Leicester,Tottenham,1,1,D,5.0,4.33,1.62,5.0,4.33,1.63,0.0,0.0,0.0,5.09,4.39,1.63,5.0,4.33,1.65,7,15,3,7,11,12,2,13,1,1,0,0
fd__24/08/2024_Brighton_Man United,E0,Английская Премьер-лига,2024,24/08/2024,Brighton,Man United,2,1,H,2.5,3.7,2.63,2.5,3.75,2.6,0.0,0.0,0.0,2.51,3.66,2.76,2.5,3.7,2.7,14,11,5,4,9,13,4,4,1,2,0,0
fd__24/08/2024_Crystal Palace_West Ham,E0,Английская Премьер-лига,2024,24/08/2024,Crystal Palace,West Ham,0,2,A,2.15,3.6,3.2,2.15,3.5,3.2,0.0,0.0,0.0,2.17,3.68,3.33,2.2,3.5,3.3,14,18,2,3,9,17,3,3,1,1,0,0
fd__24/08/2024_Fulham_Leicester,E0,Английская Премьер-лига,2024,24/08/2024,Fulham,Leicester,2,1,H,1.8,3.75,4.2,1.8,3.75,4.33,0.0,0.0,0.0,1.84,3.67,4.56,1.83,3.7,4.33,18,10,6,4,14,13,7,5,2,2,0,0
fd__24/08/2024_Man City_Ipswich,E0,Английская Премьер-лига,2024,24/08/2024,Man City,Ipswich,4,1,H,1.08,12.0,21.0,1.1,12.5,23.0,0.0,0.0,0.0,1.08,13.21,25.71,1.1,11.0,26.0,14,1,5,1,4,15,10,1,2,3,0,0
