"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Bayern Munich";34;21;8;5;92;38;71;85.12;81.19;37.01;29.43;51.76;8.57;15.22;437;166;71.99
2;"Borussia Dortmund";34;22;5;7;83;44;71;76.97;72.42;43.23;42.47;29.95;10.25;13.14;314;181;64.69
3;"RasenBallsport Leipzig";34;20;6;8;64;41;66;68.84;63.54;36.99;30.93;32.61;10.31;14.5;296;161;67.51
4;"Union Berlin";34;18;8;8;51;38;62;35.07;29.77;42.43;37.13;-7.36;15.07;12.58;175;217;42.32
5;"Freiburg";34;17;8;9;51;44;59;50.24;44.09;49.66;45.12;-1.02;12.1;11.13;217;260;47.33
6;"Bayer Leverkusen";34;14;8;12;57;49;50;53.68;48.38;46.78;41.48;6.9;14.46;11.32;217;221;52.59
7;"Eintracht Frankfurt";34;13;11;10;58;52;50;53.2;48.65;44.53;43.01;5.64;11.15;12.32;238;215;51.5
8;"Wolfsburg";34;13;10;11;57;48;49;51.21;45.77;52.1;46.8;-1.02;11.08;11.1;244;230;47.23
9;"Mainz 05";34;12;10;12;54;55;46;50.49;45.94;54.86;48.65;-2.71;11.48;10.47;237;223;45.15
10;"Borussia M.Gladbach";34;11;10;13;52;55;43;52.84;48.29;59.04;54.5;-6.21;13.88;12.81;225;260;44.29
11;"FC Cologne";34;10;12;12;49;54;42;51.04;48.01;42.07;38.28;9.73;11.04;12.4;208;202;49.67
12;"Hoffenheim";34;10;6;18;48;57;36;47.31;40.49;52.84;50.57;-10.08;10.55;11.6;217;275;42.97
13;"Werder Bremen";34;10;6;18;51;64;36;42.91;38.37;57.85;55.58;-17.21;11.18;11.45;244;244;40.48
14;"Bochum";34;10;5;19;40;72;35;40.08;37.8;69.44;58.67;-20.87;9.34;10.15;198;291;32.16
15;"Augsburg";34;9;7;18;42;63;34;36.03;32.24;65.07;62.04;-29.81;12.48;8.55;164;283;30.23
16;"VfB Stuttgart";34;7;12;15;45;57;33;49.15;45.36;48.31;43.76;1.6;13.73;11.4;209;233;47.31
17;"Schalke 04";34;7;10;17;35;71;31;40.54;36.76;61.53;56.93;-20.17;10;8.83;170;241;38.76
18;"Hertha Berlin";34;7;8;19;42;69;29;41.44;36.13;62.42;57.87;-21.74;12.75;7.6;149;256;34.33
