"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Manchester City";38;28;7;3;96;34;91;89.55;81.94;37.27;34.99;46.95;11.25;20.09;516;155;83.07
2;"Arsenal";38;28;5;5;91;29;89;84.39;76.78;31.78;29.5;47.28;9.6;16.83;531;151;81.94
3;"Liverpool";38;24;10;4;86;41;82;94.79;87.65;47.4;46.64;41.01;7.66;16.64;510;233;76.88
4;"Aston Villa";38;20;8;10;76;61;68;67.42;64.38;65.08;63.43;0.95;13.68;10.31;344;268;55.43
5;"Tottenham";38;20;6;12;74;61;66;73.35;71.83;68.07;62.74;9.09;7.5;12.34;493;264;57.42
6;"Chelsea";38;18;9;11;77;63;63;80.88;71.75;62.6;58.78;12.97;9.57;14.18;382;292;64.2
7;"Newcastle United";38;18;6;14;85;62;60;84.48;77.63;62.46;58.52;19.1;10.26;11.06;348;274;65.59
8;"Manchester United";38;18;6;14;57;58;60;60.33;54.99;74.76;69.43;-14.45;11.96;13.11;319;371;44.42
9;"West Ham";38;14;10;14;60;74;52;54.53;50.72;77.91;70.3;-19.57;15.95;9.05;159;444;41.28
10;"Crystal Palace";38;13;10;15;57;58;49;53.94;50.89;57.99;55.71;-4.82;13.75;8.99;244;296;50.46
11;"Brighton";38;12;12;14;55;62;48;61.91;57.22;60.94;56.37;0.85;10;17.22;361;314;54.43
12;"Everton";38;13;9;16;40;51;48;60.75;58.47;60.26;54.17;4.3;13.12;10.15;237;314;53.1
13;"Bournemouth";38;13;9;16;54;67;48;63.76;61.47;65.51;60.02;1.45;9.71;8.37;303;379;53.47
14;"Fulham";38;13;8;17;55;61;47;52.81;51.29;66.9;60.81;-9.53;13.73;13.11;288;320;44.99
15;"Wolverhampton Wanderers";38;13;7;18;50;65;46;50.65;47.61;76.11;70.02;-22.41;12.46;10.29;216;396;39.79
16;"Brentford";38;10;9;19;56;65;39;64.29;62.01;60.26;58.74;3.27;10.07;10.34;286;351;52.94
17;"Nottingham Forest";38;9;9;20;49;67;36;52.16;51.4;56.25;53.21;-1.81;17.74;9.94;213;334;50.17
18;"Luton";38;6;8;24;52;85;26;49.87;46.07;91.65;88.6;-42.54;13.16;7.75;178;377;32.33
19;"Burnley";38;5;9;24;41;78;24;43.44;41.16;75.72;70.39;-29.23;13.32;11.88;211;383;33.69
20;"Sheffield United";38;3;7;28;35;104;16;41.31;37.5;85.71;80.38;-42.88;17.2;8.47;169;392;28.53
