"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Barcelona";38;28;4;6;70;20;88;82.79;81.31;33.34;31.11;50.2;7.41;15.93;426;159;79.31
2;"Real Madrid";38;24;6;8;75;36;78;79.39;70.35;39.44;35.73;34.63;10.36;16.11;408;200;76.46
3;"Atletico Madrid";38;23;8;7;70;33;77;68.68;67.94;43.19;39.48;28.46;13.44;13.6;327;191;67.02
4;"Real Sociedad";38;21;8;9;51;35;71;62.57;59.59;35.55;34.06;25.53;7.29;11.29;252;182;71.83
5;"Villarreal";38;19;7;12;59;40;64;65.56;60.19;51.4;48.42;11.76;9.16;10.79;319;219;61.82
6;"Real Betis";38;17;9;12;46;41;60;55.1;48.41;51.57;49.34;-0.93;11.61;9.64;233;242;53.94
7;"Osasuna";38;15;8;15;37;42;53;41.42;37.71;51.58;48.6;-10.9;10.16;10.88;184;220;44.56
8;"Athletic Club";38;14;9;15;47;43;51;56.22;51.02;37.49;35.26;15.76;9.28;11.04;254;190;63.84
9;"Mallorca";38;14;8;16;37;43;50;39.56;35.84;46.98;41.78;-5.94;12.78;8.15;142;231;48.74
10;"Girona";38;13;10;15;58;55;49;54.8;48.11;54.71;48.77;-0.67;11.62;10.17;183;234;51.6
11;"Sevilla";38;13;10;15;47;54;49;50.7;46.98;57.99;55.76;-8.78;10.34;11.95;237;210;49.64
12;"Rayo Vallecano";38;13;10;15;45;53;49;42.54;36.6;53.19;49.47;-12.87;8.07;9.39;181;188;45.57
13;"Celta Vigo";38;11;10;17;43;53;43;42.25;40.02;49.24;43.17;-3.15;11.08;10.06;224;145;47.04
14;"Valencia";38;11;9;18;42;45;42;53.64;47.69;52.36;48.64;-0.95;9.71;9.59;211;200;53.72
15;"Getafe";38;10;12;16;34;45;42;38.91;32.96;47.07;41.13;-8.17;12.83;8.8;141;199;44.68
16;"Cadiz";38;10;12;16;30;53;42;42.68;38.97;68.79;61.35;-22.39;12;7.61;128;267;39.91
17;"Almeria";38;11;8;19;49;65;41;46.09;43.86;69.26;64.8;-20.94;12.95;9.96;163;345;40.16
18;"Real Valladolid";38;11;7;20;33;63;40;39.86;36.89;70.33;62.9;-26.01;9.39;9.05;150;302;34.89
19;"Espanyol";38;8;13;17;52;69;37;51.04;47.32;63.92;59.29;-11.97;11.78;8.82;172;280;44.88
20;"Elche";38;5;10;23;30;67;25;40.29;36.57;76.69;69.25;-32.68;12.25;8.65;151;282;34.77
