"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Paris Saint Germain";38;27;4;7;89;40;85;86.15;81.59;47.11;43.23;38.36;11.01;17.27;509;206;74.01
2;"Lens";38;25;9;4;68;29;84;69.93;63.09;44.56;42.27;20.81;10.19;13.2;275;226;69.41
3;"Marseille";38;22;7;9;67;40;73;72.94;67.62;45.3;41.5;26.12;7.32;11.8;348;186;70.97
4;"Rennes";38;21;5;12;69;39;68;64.24;61.96;43.14;39.34;22.62;9.35;14.79;329;173;65.33
5;"Lille";38;19;10;9;65;44;67;74.23;65.11;42;38.2;26.91;8.05;14.02;375;155;75.09
6;"Monaco";38;19;8;11;70;58;65;65.36;59.14;56.14;52.34;6.8;10.81;11.42;343;231;58.44
7;"Lyon";38;18;8;12;65;47;62;69.79;63.62;50.74;42.38;21.24;7.69;13.58;387;210;64.22
8;"Clermont Foot";38;17;8;13;45;49;59;49.65;42.05;59.44;50.18;-8.13;12.37;8.44;207;243;47.77
9;"Nice";38;15;13;10;48;37;58;59.22;53.9;44.16;40.25;13.65;12.58;12.45;250;241;61.28
10;"Lorient";38;15;10;13;52;53;55;47.35;42.79;60.97;59.45;-16.67;13.88;10.01;231;339;42.43
11;"Reims";38;12;15;11;45;45;51;59.52;53.34;54.97;52.69;0.65;9.89;9.4;248;288;55.35
12;"Montpellier";38;15;5;18;65;62;50;52.56;47.23;67.25;59.65;-12.42;11.65;8.23;169;286;45.42
13;"Toulouse";38;13;9;16;51;57;48;59.77;56.73;59.33;53.86;2.87;9.55;12.44;241;282;55.4
14;"Brest";38;11;11;16;44;54;44;41.4;35.32;58.09;51.25;-15.93;11.97;9.68;159;273;43.52
15;"Strasbourg";38;9;13;16;51;59;40;52.79;47.19;55.93;47.56;-0.37;11.63;9.54;229;216;52.19
16;"Nantes";38;7;15;16;37;55;36;44.62;40.82;58.41;51.57;-10.74;12.35;10.82;154;305;44.58
17;"Auxerre";38;8;11;19;35;63;35;40.21;33.37;65.01;60.32;-26.95;12.99;9.46;162;272;37.71
18;"Ajaccio";38;7;5;26;23;74;26;31.06;24.22;56.13;48.53;-24.31;11.96;8.71;126;264;33.12
19;"Troyes";38;4;12;22;45;81;24;36.71;32.91;83.79;77.71;-44.8;16.86;8.52;151;393;25.5
20;"Angers";38;4;6;28;33;81;18;41.04;38;66.07;57.71;-19.71;13.51;10.01;143;247;34.04
