"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Zenit St. Petersburg";30;17;6;7;52;27;57;46.37;44.11;23.24;20.22;23.88;11;15.73;310;142;56.62
2;"FC Krasnodar";30;16;8;6;45;29;56;45.1;39.07;32.72;32.72;6.35;9.44;14;195;188;50.42
3;"Dinamo Moscow";30;16;8;6;53;39;56;47.57;45.3;41.35;37.58;7.73;11.3;10.45;287;240;44.76
4;"Lokomotiv Moscow";30;14;11;5;52;38;53;40.55;39.04;42.01;33.5;5.54;9.55;10.54;299;260;39.53
5;"Spartak Moscow";30;14;8;8;41;32;50;37.14;34.88;33.4;28.87;6;9.27;12.17;251;229;43.09
6;"CSKA Moscow";30;12;12;6;56;40;48;41.65;35.61;36.73;31.43;4.19;11.7;10.06;268;253;44.53
7;"FC Rostov";30;12;7;11;43;46;43;40.69;35.41;34.22;30.36;5.05;8.72;13.29;290;194;45.99
8;"Rubin Kazan";30;11;9;10;31;38;42;33.56;32.03;34.49;32.98;-0.95;12.14;9.94;194;208;39.44
9;"Krylya Sovetov Samara";30;11;8;11;46;44;41;39.8;31.29;37.86;33.3;-2.01;13.92;10.04;224;218;40.9
10;"FK Akhmat";30;10;5;15;33;45;35;34.14;29.62;45.51;40.23;-10.61;13.1;9.07;202;251;34.55
11;"Fakel";30;7;11;12;22;31;32;28.11;23.48;34.83;33.32;-9.84;9.04;7.41;179;245;36.16
12;"FC Orenburg";30;7;10;13;34;41;31;35.85;32.83;46.29;41.66;-8.83;11.11;10.18;200;283;35.44
13;"Ural";30;7;9;14;30;46;30;37.43;30.62;39.39;34.86;-4.24;11.66;10.73;231;225;41.09
14;"Nizhny Novgorod";30;8;6;16;29;51;30;25.97;22.11;43.08;37.8;-15.69;14.03;9.2;124;263;28.27
15;"Baltika";30;7;5;18;33;42;26;36.42;34.91;43.16;39.39;-4.48;10.8;11.01;217;255;35.45
16;"PFC Sochi";30;5;9;16;37;48;24;38.17;32.89;40.26;34.98;-2.09;10.92;12.98;226;243;40.61
