"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Napoli";38;28;6;4;77;28;90;71.73;64.11;31.96;30.44;33.67;9.47;16.92;356;175;78.51
2;"Lazio";38;22;8;8;60;30;74;54.31;48.08;42.65;41.13;6.95;14.1;14.28;276;198;59.24
3;"Inter";38;23;3;12;71;42;72;71.97;68.16;36.05;33.76;34.4;10.33;17.73;325;187;76.37
4;"Juventus";38;22;6;10;56;33;72;59.74;55.06;40.98;37.18;17.88;12.61;12.02;214;197;64.38
5;"AC Milan";38;20;10;8;64;43;70;69.9;66.09;40.11;36.3;29.79;9.3;13.63;279;206;69.94
6;"Atalanta";38;19;7;12;66;48;64;60.49;54.23;45.01;42.73;11.5;11.32;12.87;315;189;61.74
7;"Roma";38;18;9;11;50;38;63;64.02;56.32;32.9;30.61;25.71;12.59;10.91;231;138;71.35
8;"Fiorentina";38;15;11;12;53;43;56;56.9;52.34;48.92;42.83;9.5;8.9;11.93;273;173;56.65
9;"Bologna";38;14;12;12;53;49;54;45.29;40.72;55.54;48.69;-7.97;10.04;14.18;177;231;45.84
10;"Torino";38;14;11;13;42;41;53;47.32;45.8;39.99;35.42;10.37;11.7;13.97;213;178;56.38
11;"Monza";38;14;10;14;48;52;52;44.81;40.24;55.26;52.97;-12.74;11.41;12.64;221;280;46.84
12;"Udinese";38;11;13;14;47;48;46;47.56;46.03;51.3;45.89;0.15;12.95;10;259;233;50.6
13;"Sassuolo";38;12;9;17;47;61;45;51.5;43.89;51.94;48.89;-5;14.15;11.37;264;244;52.5
14;"Empoli";38;10;13;15;37;49;43;41.25;39.72;63.94;59.37;-19.64;12.58;9.71;179;286;39.25
15;"Salernitana";38;9;15;14;48;62;42;35.44;33.92;72.61;63.63;-29.71;14.22;9.78;137;287;30.67
16;"Lecce";38;8;12;18;33;46;36;36.93;32.37;43.47;38.9;-6.54;11.55;8.33;138;234;47.2
17;"Verona";38;7;10;21;31;59;31;37.27;36.51;52.83;51.31;-14.8;12.71;8.32;164;280;42
18;"Spezia";38;6;13;19;31;62;31;40.64;37.59;63.82;58.49;-20.9;10.91;9.92;207;288;37.7
19;"Cremonese";38;5;12;21;36;69;27;36.59;31.07;69.55;65.74;-34.67;13.49;9.51;177;292;32.56
20;"Sampdoria";38;3;10;25;24;71;19;35.1;33.58;69.92;61.54;-27.96;12.48;9.21;197;306;31.37
