"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Bayern Munich";34;28;5;1;122;36;89;104.81;44.65;77.45
2;"Borussia Dortmund";34;22;7;5;70;34;73;67.8;42.78;61.9
3;"RasenBallsport Leipzig";34;20;5;9;66;47;65;75.18;53.48;61.33
4;"VfB Stuttgart";34;18;8;8;71;49;62;68.33;53.45;57.67
5;"Hoffenheim";34;18;7;9;65;52;61;63.15;54.09;54.4
6;"Bayer Leverkusen";34;17;8;9;68;47;59;75.25;50.96;61.07
7;"Freiburg";34;13;8;13;51;57;47;50.13;53.57;45.2
8;"Eintracht Frankfurt";34;11;11;12;61;65;44;51.02;55.55;45.2
9;"Augsburg";34;12;7;15;45;61;43;51.27;65.53;39.44
10;"Mainz 05";34;10;10;14;44;53;40;63.26;61.87;50.36
11;"Union Berlin";34;10;9;15;44;58;39;48.41;56.06;46.05
12;"Borussia M.Gladbach";34;9;11;14;42;53;38;46.69;56.61;40.54
13;"Hamburger SV";34;9;11;14;40;54;38;43.83;66.06;35.18
14;"FC Cologne";34;7;11;16;49;63;32;53.83;61.85;41.12
15;"Werder Bremen";34;8;8;18;37;60;32;42.35;61.86;37.74
16;"Wolfsburg";34;7;8;19;45;69;29;52.58;65.13;40.7
17;"FC Heidenheim";34;6;8;20;41;72;26;49.97;71.59;34.81
18;"St. Pauli";34;6;8;20;29;60;26;34.03;66.81;26.31
