"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Barcelona";38;31;1;6;95;36;94;99.67;50.71;79.06
2;"Real Madrid";38;27;5;6;77;35;86;81.49;44.99;75.93
3;"Villarreal";38;22;6;10;72;46;72;68.84;53.67;63.28
4;"Atletico Madrid";38;21;6;11;62;44;69;68.11;53.14;61.83
5;"Real Betis";38;15;15;8;59;48;60;61.3;50.32;59.96
6;"Celta Vigo";38;14;12;12;53;48;54;51.99;56.34;51.37
7;"Getafe";38;15;6;17;32;38;51;33.96;48.31;42.95
8;"Rayo Vallecano";38;12;14;12;41;44;50;59.98;56.34;55.9
9;"Valencia";38;13;10;15;46;55;49;53.95;55.53;53.54
10;"Real Sociedad";38;11;13;14;59;61;46;59.7;60.54;54.61
11;"Espanyol";38;12;10;16;43;55;46;52.38;62.67;44.13
12;"Athletic Club";38;13;6;19;43;58;45;55.65;47.12;56.9
13;"Elche";38;10;13;15;49;57;43;48.17;68.93;41.67
14;"Alaves";38;11;10;17;44;56;43;53.58;52.97;52.58
15;"Sevilla";38;12;7;19;46;60;43;39.65;61.32;37.88
16;"Osasuna";38;11;9;18;44;50;42;51.46;51.64;53.36
17;"Mallorca";38;11;9;18;47;57;42;47.51;65.85;39.79
18;"Levante";38;11;9;18;47;61;42;59.6;66.65;47.79
19;"Girona";38;9;14;15;39;55;41;52.13;65.82;45.11
20;"Real Oviedo";38;6;11;21;26;60;29;41.5;67.74;36.08
