"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Paris Saint Germain";38;26;8;4;90;36;86;82.34;38;80.39
2;"Marseille";38;21;8;9;63;38;71;59.87;42.79;63.17
3;"Monaco";38;20;9;9;65;40;69;63.58;42.51;66.01
4;"Nice";38;20;7;11;52;36;67;59.6;44.95;61.81
5;"Rennes";38;20;6;12;82;40;66;68.24;43.77;64.67
6;"Strasbourg";38;17;12;9;60;43;63;61.2;44.68;63.49
7;"Lyon";38;17;11;10;66;51;62;73.32;54.69;64.94
8;"Lens";38;17;11;10;62;48;62;52.24;43.7;57.5
9;"Nantes";38;15;10;13;55;48;55;45.77;53.53;45.49
10;"Lille";38;14;13;11;48;48;55;56.39;36.97;66.82
11;"Brest";38;13;9;16;49;57;48;44.85;60.57;44.18
12;"Reims";38;11;13;14;43;44;46;40.01;47.79;46.1
13;"Montpellier";38;12;7;19;49;61;43;42.47;57.5;43.21
14;"Angers";38;10;11;17;44;55;41;45.21;51.69;48.98
15;"Troyes";38;9;11;18;37;53;38;39.66;52.99;44.09
16;"Lorient";38;8;12;18;35;63;36;39.32;54.5;40.73
17;"Clermont Foot";38;9;9;20;38;69;36;42.07;55.85;43.38
18;"Saint-Etienne";38;7;11;20;42;77;32;40.18;64.76;39.69
19;"Metz";38;6;13;19;35;69;31;30.15;71.65;26.71
20;"Bordeaux";38;6;13;19;52;91;31;46.28;69.82;38.21
