"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"FC Krasnodar";30;20;7;3;59;23;67;52.53;29.35;57.44
2;"Zenit St. Petersburg";30;20;6;4;58;18;66;45.79;21.52;57.37
3;"CSKA Moscow";30;17;8;5;47;21;59;40.83;26.44;49.66
4;"Spartak Moscow";30;17;6;7;56;25;57;52.82;22.85;62.01
5;"Dinamo Moscow";30;16;8;6;61;35;56;49.28;35.35;48.46
6;"Lokomotiv Moscow";30;15;8;7;51;41;53;44.6;37.86;45.57
7;"Rubin Kazan";30;13;6;11;42;45;45;34.09;42.76;35.59
8;"FC Rostov";30;10;9;11;41;43;39;40.2;37.06;42.33
9;"Akron";30;10;5;15;39;55;35;33.53;52.18;30.88
10;"Krylya Sovetov Samara";30;8;7;15;36;51;31;34.43;41.03;35.84
11;"Dynamo Makhachkala";30;6;11;13;27;35;29;28.27;34.56;35.05
12;"Khimki";30;6;11;13;35;56;29;32.22;51.33;31.02
13;"Nizhny Novgorod";30;7;6;17;27;54;27;27.67;44.83;29.79
14;"FK Akhmat";30;4;13;13;27;48;25;38.82;37.22;43.34
15;"FC Orenburg";30;4;7;19;28;56;19;31.81;51.8;29.18
16;"Fakel";30;2;12;16;14;42;18;23.03;43.79;27.37
