"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Inter";38;28;7;3;89;35;91;78.35;40.59;77.32
2;"AC Milan";38;24;7;7;74;41;79;75.05;48.84;68.75
3;"Atalanta";38;23;9;6;90;47;78;82.01;39.94;77.57
4;"Juventus";38;23;9;6;77;38;78;83.53;38.33;79.47
5;"Napoli";38;24;5;9;86;41;77;74.98;41.88;73.83
6;"Lazio";38;21;5;12;61;55;68;58.7;48.84;57.38
7;"Roma";38;18;9;11;68;55;63;72.11;50.33;65.2
8;"Sassuolo";38;17;11;10;64;56;62;61.61;54.82;57.31
9;"Sampdoria";38;15;7;16;52;54;52;46.7;58.63;44.07
10;"Verona";38;10;13;15;43;48;43;47.97;52.45;49.62
11;"Genoa";38;10;12;16;47;58;42;40.71;62.68;38.6
12;"Bologna";38;10;11;17;51;65;41;57.53;67.59;49.36
13;"Fiorentina";38;9;13;16;47;59;40;46.2;62.02;42.99
14;"Udinese";38;10;10;18;42;58;40;48.24;56.38;48.91
15;"Spezia";38;9;12;17;52;72;39;47.9;70.59;39.52
16;"Cagliari";38;9;10;19;43;59;37;45.6;65.26;41.13
17;"Torino";38;7;16;15;50;69;37;49.6;64.22;44.68
18;"Benevento";38;7;12;19;40;75;33;38.65;70.48;32.75
19;"Crotone";38;6;5;27;45;92;23;39.64;77.48;29.87
20;"Parma Calcio 1913";38;3;11;24;39;83;20;42.98;66.69;37.49
